area_eng,area,tag,bv_id,title,view,duration,danmaku,reply,favorite,coin,share,like,author_uid,author_name
Anime,动画,短片·手书·配音,BV1G44y1P7Y3,一句话绑架道德绑架！！！,1841904,164,7355,2804,64570,95195,23030,204305,90361813,三十六贱笑
Anime,动画,综合,BV19r4y1H7yc,嘘，这可不兴说啊！2022年1月新番完结吐槽大总结！【泛式】,1957497,594,12181,8940,35633,97834,7661,203935,63231,泛式
Anime,动画,短片·手书·配音,BV18Y4y1v7rQ,【原神花嫁】属于你我的约定,574828,150,8203,1802,52464,48924,9835,95710,11742550,哈米伦的弄笛者
Anime,动画,MMD·3D,BV1f94y1o7d8,【JOJO】真·黄金之风CG(那不勒斯黄金男团）,579799,121,1347,1238,32340,68028,5288,82464,224521126,Licky-QY
Anime,动画,综合,BV1r94y1o7cb,自制伍六七第四季4,895300,343,4487,2660,14151,38754,2895,85051,316567547,美尼尔动画君
Anime,动画,短片·手书·配音,BV1d94y1f7cQ,梅琳娜：老公！我再也不做木头人了！【爆笑老头环】,1128431,34,661,1885,27931,20216,16665,78590,53542,卓洛Zorro
Anime,动画,短片·手书·配音,BV1xu411i7MY,【OC/互动原创动画】入局【维维鲁耶 · 档案Ⅰ】,762869,199,2391,4064,80740,97958,17241,123068,1207265987,___viv___
Anime,动画,短片·手书·配音,BV1su411i78F,那些被疫情偷走的青春,1001008,134,695,1418,15955,11846,3265,79060,2342149,怪漫阿修
Anime,动画,手办·模玩,BV1cS4y1279D,【SDARK】我的德天使有点不一样,395398,978,2858,1383,21298,63868,9705,46806,18364636,SDARK
Music,音乐,音乐综合,BV1c5411D7a4,听说这首歌是检验顶级vocal的唯一标准,1764547,66,754,1374,90510,6852,5833,195849,630286526,Ethika中国官方
Music,音乐,翻唱,BV1HT4y1v7HS,许嵩和米津玄师听完都沉默了,1778084,65,1817,1745,32055,38475,14199,145861,553425,拯救世界的狗子
Music,音乐,翻唱,BV1tq4y1e7RW,十八通宵喝不醉，中年听歌流眼泪,1832969,447,3750,3682,38268,65508,10982,96024,2020642651,铁皮软糖乐队
Music,音乐,MV,BV1JS4y1P7Nb,【房东的猫】清明版《云烟成雨》，怀念故去的人…,987534,287,2330,2507,23613,53294,14340,90797,1131457022,人民日报
Music,音乐,翻唱,BV1tF41137H5,【泠鸢】群青，但中文了！久违的翻填~,1261488,136,1817,3723,72550,101436,10479,156829,282994,泠鸢yousa
Music,音乐,翻唱,BV1694y1o79a,谁知道原来静悄悄的原唱长这样？,1642619,79,1612,3593,42961,18783,13880,124866,515888866,陈泫孝_
Music,音乐,MV,BV1JY4y1H7vP,【清明节】许嵩《清明雨上》经典中国风神曲！清明节必听！,710716,218,1954,3455,14613,17758,10725,69182,229733301,音乐私藏馆
Music,音乐,MV,BV1zq4y1a7bW,BigBang最新回归曲【春夏秋冬】MV公开,922668,194,4462,10274,19415,8663,16227,43460,16720403,pcyxjy
Music,音乐,翻唱,BV11Z4y1m7b5,【NCT】 Cover | RENJUN - 认真的雪 (薛之谦),546151,208,11394,13622,33422,68047,18147,57391,673375678,NCT
Music,音乐,VOCALOID·UTAU,BV1t3411H7bH,【原神】用原神四十九位角色共谱一曲千本樱,434064,213,1875,1079,41669,38584,3311,76944,241296060,渃鸢教主
Dance,舞蹈,明星舞蹈,BV1wq4y1e7s3,中科院女博士们在研究所走廊上跳Helicopter,2012935,226,2536,4269,23260,27101,14938,129502,65747899,错位时空
Dance,舞蹈,舞蹈综合,BV1zP4y1K7oR,【小鸡恰恰舞】超高难度版！,2605586,61,1749,3731,31811,69183,16590,171858,27565758,-小D-biu
Dance,舞蹈,宅舞,BV1Hq4y1e7Qh,【招行特供】悦动在春天的，是我们的 ❤️心跳光谱♬,861691,198,4407,5530,23946,64974,8845,68297,473965081,招商银行官方账号
Dance,舞蹈,明星舞蹈,BV1cT4y1v7LA,NMIXX直播挑战随机舞蹈 好青春活力的妹妹们！,397119,1284,10320,5385,18391,6028,9523,27766,16720403,pcyxjy
Dance,舞蹈,明星舞蹈,BV1SS4y1m7vR,近期的kpop属实有点影响现实生活了,876760,132,3812,820,6616,8320,2696,43361,559948041,可乙瘦
Dance,舞蹈,舞蹈综合,BV1WY4y1W7Rh,甜 妹 出 游,674163,12,254,614,4940,1212,1317,35853,2871017,一栗莎子
Dance,舞蹈,街舞,BV1KL4y1j78S,课堂上总是有各种各样的“小事故”,506085,19,129,307,7958,784,1426,32026,471125121,WOW我舞空间_JONA
Dance,舞蹈,街舞,BV1Xr4y1H7uL,Dante&yy|哪里有阳光哪里就有我们哈哈,304417,11,39,232,5474,474,699,34708,461561,蛋特DANTE
Dance,舞蹈,明星舞蹈,BV1Va41147UA,【TOM BOY】湖大宿舍打歌｜百万直拍预定 运镜真的有这么丝滑吗？,585978,94,218,832,4080,1781,1816,62873,7978696,破防姐妹
Dance,舞蹈,明星舞蹈,BV18Y41177xc,居家隔离第二天.....我也不会做饭啊(*꒦ິ⌓꒦ີ),295474,93,142,259,13941,1179,341,17655,18841842,慕慕有奶糖
Game,游戏,单机游戏,BV1ta41147JZ,一不小心，把B站玩坏了！,3855316,134,6112,2369,37590,19154,3878,407190,624757844,一只大哈鱼
Game,游戏,单机游戏,BV1fq4y1h7Pk,当 幸 福 来 敲 人 ！！！,582411,1412,10800,18955,17481,63688,649,82305,26240675,与山0v0
Game,游戏,单机游戏,BV1Gu411i7fb,这操作是人类能完成的？？,1571731,93,3688,1160,28077,33806,861,127266,26032219,FoFTG
Game,游戏,单机游戏,BV1a5411S7xm,让你欲罢不能的10款steam神级软件，满足你“奇怪”的需求,801799,387,3237,1050,94618,39998,2469,60449,1083495934,痞仔Games
Game,游戏,手机游戏,BV1wa411i7yw,为什么我的骑兵长这样？？？,4290194,548,7938,3150,31714,45323,2605,342026,546195,老番茄
Game,游戏,网络游戏,BV1wL4y1j7g7,朋 友 开 黑 现 状,1754035,150,761,1666,7804,3291,4548,128785,495695169,锤子game
Game,游戏,单机游戏,BV1fS4y1N7E4,【STN快报第六季27】美国著名Rapper宣布参战,882046,1140,9427,1838,13657,47788,1316,78625,7349,STN工作室
Game,游戏,GMV,BV1Ci4y1Q7ff,【原神】他是你认识的那位黑蛇骑士吗？,1119022,230,2417,4080,31762,23630,8025,95680,19491361,言只Yanzhi
Game,游戏,单机游戏,BV1xu411i7fx,【那些令人难忘的BOSS战】第43集·艾尔登法环·篇02,831889,2106,8959,3268,15603,40864,3160,65650,28266043,附魔星Fms
Game,游戏,电子竞技,BV1dS4y1N7iU,愚人节这个彩蛋太有意思啦哈哈哈,1434548,247,1322,1496,13384,2448,19597,94548,535486511,我是弹纸儿
Knowledge,知识,社科·法律·心理,BV1dZ4y1m7NY,这种快递千万不要收！,3068098,89,1461,3912,15295,2737,33231,198099,581418572,明sir反骗局
Knowledge,知识,校园学习,BV1X5411S7JG,我感觉你状态不对，我想拉你一把,4179289,116,1334,3232,57033,41877,4597,191669,662908408,aiFei小朋友
Knowledge,知识,人文历史,BV1hP4y1u7tb,周杰伦：拒绝用韩语采访，当众怒怼韩国网友，他到底有多爱国！,3528644,307,1891,1847,14250,4398,872,204407,1555182271,阿诚正能量
Knowledge,知识,人文历史,BV1634y1s7GC,一个日本人如何参加抗战？,2697990,1342,39637,12214,64374,217547,17353,303565,23947287,小约翰可汗
Knowledge,知识,科学科普,BV1Bu411e7xm,连续熬夜一年，你的身体会发生什么变化？,859851,274,2900,4827,18768,18962,14029,67750,1195284234,李白尼的猜想
Knowledge,知识,校园学习,BV1iu411i75D,早点知道这个道理，我应该就不会复读了,589505,492,647,906,45940,11364,2976,49461,2061560039,树成林林林
Knowledge,知识,人文历史,BV1CS4y1m7mL,21年过去，他的孩子加入了海军，妻子仍在等他回来,1331208,34,3104,705,9374,2292,453,196055,483940995,四川共青团
Knowledge,知识,人文历史,BV1Pa411i7jF,放弃高考，差点抑郁自杀，从愤怒暴躁，到知行合一【寻找·许巍】,585983,1859,4705,1760,16310,37002,6436,42523,49246269,大象放映室
Knowledge,知识,人文历史,BV1KS4y1K7TJ,公交车灵异事件的最早起源，竟然在一百多年前,494203,953,6099,2390,8542,33400,1587,56960,486633990,我是江无情
Knowledge,知识,人文历史,BV1mS4y1m7MC,论炫富我只服他，极度奢靡的生活令人瞠目结舌，自称靠打扑克赢得亿万身家，真相竟然是这样,1210022,1317,6789,1670,6527,7960,1128,55091,454719565,奇闻观察室
Technology,科技,数码,BV1or4y1H714,极致性价比的代价是什么？红米K50全系防水+跌落+拆解【新评科技】,746930,1711,8504,4006,11570,66854,3035,69755,138780964,新评科技
Technology,科技,数码,BV1gi4y1D7Hu,2022年低预算高性价比“ITX”迷你游戏办公电脑,574955,1442,14189,3036,25820,38789,7018,44406,338748561,喵喵折App
Technology,科技,软件应用,BV1dq4y1e72u,五个稀奇古怪的网站，浪费你46秒时间。,10284055,46,2281,4203,1724575,163584,41964,1209407,1419679987,程序员汤圆
Technology,科技,数码,BV1X3411n7hz,【抽奖预告】66W粉丝福利！总价值5万！！送一台全球限定主机加超级礼包！仅限B站！,958400,101,11886,9603,10374,27443,8632,50224,471303350,大狸子切切里
Technology,科技,软件应用,BV1yZ4y1B764,中国人不骗中国人！全网最简单C盘清理攻略,1425795,308,3391,4364,230367,83585,13876,142580,162827591,攀升电脑
Technology,科技,软件应用,BV16P4y1K7AW,【硬核科普】键盘上这9个键，到底有什么用？,461381,252,2002,872,30548,9513,978,29522,1530628534,王路飞CP
Technology,科技,极客DIY,BV15q4y1e7nx,⚡️ 腕 力 球 的 极 限 ⚡️,950667,273,613,342,3513,3041,166,36625,2040085396,大琢磨
Technology,科技,软件应用,BV1CT4y1e7qR,电脑应该怎么设置？up主耗费200个小时良心整理全网最全的Windows调教指南,177269,423,849,678,20236,6909,448,13833,1385037217,痞仔伯爵
Technology,科技,数码,BV1RT4y1e7Lq,【胶卷相机】时代的礼物 part4,447943,206,124,168,7621,136,419,51534,346161075,Xiaowen_Liu
Technology,科技,数码,BV1KS4y1P7EA,新CPU发布，这次AMD还YES？5500、5700X性能测试,524259,514,2883,2518,1489,3812,1077,24478,35359510,远古时代装机猿
Sports,运动,健身,BV1f94y1f7td,健身时不要玩手机。,1984150,66,5402,1973,6670,9319,14344,183719,411379495,吴彦祖秃顶版
Sports,运动,健身,BV1r5411S7Z3,看！前方星光璀璨！,986900,34,451,1115,34567,3502,4677,120941,292164515,爱跑步的小陈同学
Sports,运动,运动综合,BV1xY4y1v7YQ,请大数据把我推给有趣的人,1021048,22,574,630,7882,5780,1499,115681,17604510,親爱的夏
Sports,运动,健身,BV1PY4y1W7qK,健身人眼中的蔬菜。健身减脂期，哪些蔬菜能促进代谢，哪些蔬菜能消除水肿，哪些蔬菜热量高，哪些蔬菜应该当主食吃，哪些蔬菜应该少吃，看完你就学会啦~,875801,127,441,869,50968,5915,8503,38529,1881602227,Elise是自律小姐
Sports,运动,健身,BV1pS4y117j4,［Lucy Wyndham-Read］这瘦腿操是来报恩的吧！七天瘦腿！转自@自律打卡孙叨叨,115512,705,448,897,42569,1730,2075,7606,256629705,可可爱爱小熊软糖
Sports,运动,健身,BV1S5411S7Z4,这人能处，有腹肌是真给看。,695927,90,459,893,5714,2483,2499,33776,11292325,柒叶Qiye
Sports,运动,健身,BV1DF41137SQ,坚持自律的1883天！今天又结识了一些小伙伴，真的太快乐了～坚持自律，塑造更好的自己！！,548518,121,442,849,2434,3893,1640,30293,73820664,自律的悍匪
Sports,运动,篮球·足球,BV1LY4y1q7Rx,以为是个青铜，好奇怪啊再看一遍！,1590209,14,195,346,4683,235,573,137756,20391398,路人王篮球
Sports,运动,健身,BV1rF41137Nn,变异后的小鸡恰恰舞,429724,74,375,865,2504,9551,2841,29529,493570956,欧阳春晓Aurora
Sports,运动,运动文化,BV13q4y1e79b,世界上最解气的挑战，日本世界冠军VS中国小学生，输了不服气！,687330,126,201,560,1979,129,76,75320,509864512,世界之最0
Cars,汽车,汽车生活,BV1Vr4y1s7LW,就算天王老子来了，视频车也没有责任！,1085420,38,172,529,1799,60,27,79269,22649032,大锤RUNKMD
Cars,汽车,汽车生活,BV1rY4y1q7WG,有点东西,986008,21,214,721,4660,144,2032,83616,429628677,360记录仪车祸现场
Cars,汽车,汽车文化,BV1YS4y1K7T3,保时捷车主要小心自己的车灯了！,611809,13,100,358,1786,34,836,36721,1874701454,C座901
Cars,汽车,汽车生活,BV1QY4y1s7cn,战神小mini,656052,19,208,423,5425,58,1058,123910,1370899547,山西友信五菱宝骏
Cars,汽车,汽车生活,BV1cF411s7am,难道衣服从窗户掉下去了？,2610563,63,4,12,2286,82,1,638,1629014380,会移动的家
Cars,汽车,汽车生活,BV1sS4y1K7BU,两台车一个人！谁应该承担责任？,488657,51,144,513,696,44,207,18350,624941067,无事故不交通哦
Cars,汽车,汽车文化,BV1ta41147p8,年营收4000亿！宇宙最强老三奥迪集团发家收购史【镖车·奥迪】,249346,1111,1512,663,4954,12087,1073,15353,1575718735,保镖的车库
Cars,汽车,摩托车,BV1JY41177VE,街头艺人,330068,15,269,325,3146,153,1803,26253,434740386,Johnson仲森
Cars,汽车,汽车生活,BV1RZ4y1m7UC,带你看看机械臂是怎么对付闯红灯的汽车的！,1377754,69,3,3,1183,93,0,624,17128799,小杰特效师
Cars,汽车,汽车文化,BV1m3411n7hK,这是 户外烤地瓜神器吗,2938542,32,804,1572,58324,19882,14460,215596,22184868,goodgod-auto
Life,生活,搞笑,BV1BZ4y1m7BE,10万播放我发给他妈,5527444,17,2037,3736,49975,11600,28052,467173,274459325,方山厨子
Life,生活,搞笑,BV1QT4y1e79k,这一季，关乎男人的尊严！！！,3552880,2112,60788,7473,95779,409235,18277,564900,19642758,力元君
Life,生活,日常,BV1t3411H7Zw,我，985废物，大家引以为戒,2256116,349,6754,7063,45936,96696,17920,196474,35757240,爱吃榴莲的小吴同学
Life,生活,搞笑,BV1rS4y1m7aa,“不能说毫无关系，只能说一模一样”,2778641,202,3223,2166,44622,52734,21651,196122,1885287644,东方月初cl
Life,生活,搞笑,BV14u411i7Xz,哈哈哈哈！这是谁写的！？爆笑吐槽网络神级沙雕小说《拼夕夕系统附身，六万人砍不死我》！,2738217,323,6479,5193,31162,14674,35730,195157,2897191,阿漫啊阿漫
Life,生活,日常,BV18L4y1L75d,师傅还是走个流程吧，直接剪怕你受不了,3361396,55,1049,2680,29168,3001,14982,267210,1079787949,爱搭讪的麦麦提
Life,生活,搞笑,BV1gS4y1K7bQ,骗侄子理发，假装把他的耳朵给剃了，结果... 《东尼理发日记》,1443287,555,8797,2854,13311,47417,5302,169367,285499073,东尼ookii
Life,生活,搞笑,BV1xa41147jx,监考老师的这套词儿是不是都训练过啊？,1643152,104,1671,1089,22616,3534,9003,176377,93735099,段炼丶Exercise
Life,生活,日常,BV16Y41177os,不愧是重庆！这里也太热情了吧！,897563,1400,14610,3413,16059,40008,4306,116706,562197,中国BOY超级大猩猩
Life,生活,搞笑,BV1644y1P7cZ,找妈妈要钱VS找爸爸要钱！,1410598,31,176,485,7194,382,1018,207858,384205461,是个维维啊
Food,美食,美食制作,BV1di4y1Q7dW,美食博主的翻车现场，全程极度舒适！,2454995,392,10270,2630,19222,84402,3439,242019,18202105,绵羊料理
Food,美食,美食侦探,BV1ga41147zh,逛逛印度小卖店,2571616,136,5650,5285,6313,17375,2879,229090,533459953,刘庸干净又卫生
Food,美食,美食制作,BV1NF41137Xy,买了一斤鱼泡只为可以鱼泡自由！最后大失所望,1061293,296,14035,2819,4430,20825,680,122545,9824766,敬汉卿
Food,美食,美食侦探,BV1Ti4y1X72m,迪拜随机探店挑战！！在土豪遍地的城市，随机探店什么体验？,1537720,672,12457,2001,15594,90527,2900,207549,447317111,Meetfood觅食
Food,美食,美食制作,BV1JT4y1v7pi,鼠曲草新昌人也叫做棉花青，在清明有用它做青麻糍的习俗。,1016747,423,7344,2789,4543,19443,3655,100553,1838326986,帅农鸟哥
Food,美食,美食记录,BV1Di4y1Q7vT,韩国大学食堂｜很冤，因吃得过于真实被质疑故意抹黑……,1568116,72,1979,2821,3971,870,2968,120927,412659539,少女筒筒
Food,美食,美食侦探,BV1Z5411S7rR,瑞娇嫲嫲潮汕生腌  厨子探店¥516,1287027,245,1921,2066,5121,5254,3977,95993,544336675,真探唐仁杰
Food,美食,美食记录,BV1bY4y1v7BA,欺骗餐教学，只有真正努力的人才有资格吃,2643445,83,5036,2607,9352,9684,21128,189072,411379495,吴彦祖秃顶版
Food,美食,美食制作,BV1jq4y1e7Df,秘制蛋黄沙拉炼乳芥末黄瓜薯条！,542450,348,4149,1319,6006,31239,2155,71349,1916474,神奇海挪
Food,美食,美食制作,BV1rL4y1L751,疯了！好吃到疯了！【会爆汁的茄子】疫情在家学学这道菜吧，一起加油！,531305,48,151,319,28630,3591,3260,31082,590201208,龙帅食堂
Animals,动物圈,野生动物,BV1JS4y117wW,“哪位乘客把猫猫带上车了？”,2261955,132,5606,2555,13985,29348,12422,144195,590490400,克里米亚野生动物园
Animals,动物圈,喵星人,BV1F5411D7XW,在宠物店遇到一只很来劲的小猫，直接把她带回家,1039901,112,1050,1196,15683,1692,8354,107666,99440780,南鸽一只
Animals,动物圈,汪星人,BV1o34y1472p,⚡️一条狗的使命⚡️,1391214,199,39,1566,17934,7166,8705,99074,30029844,城市里的动物
Animals,动物圈,汪星人,BV1tF41137BU,“动物的悲欢并不相通”,1462739,138,770,444,23062,3479,6015,123438,470624011,动物治愈馆
Animals,动物圈,喵星人,BV1VF41137ef,绑架吓尿了,1001175,131,2029,1959,3286,7638,1363,104521,508416316,本喵叫兔兔
Animals,动物圈,汪星人,BV1DY411J74a,用P链其实是在保护狗狗,713235,34,35,513,3862,49,157,96205,9583937,小米的狗
Animals,动物圈,喵星人,BV15Y41177Rp,“看好了，我只演示一遍”,1262831,127,372,556,8406,6459,5839,43672,202927177,一根大卜萝
Animals,动物圈,喵星人,BV15q4y1e7tX,给猫带上摄像头，带你体验农村小猫咪的幸福生活,942092,361,2457,1065,9267,13320,13137,41538,583158574,王天霸是只猫
Animals,动物圈,汪星人,BV1hr4y1s7bS,如果你遇到半个头的狗狗，你会嘲笑它吗？,1129021,75,271,270,7911,2580,239,28735,89015441,喵掌柜老李
Animals,动物圈,喵星人,BV1ka411x7nH,难道猫薄荷只是男的管用？（掉毛季某些人好惨 啊哈哈哈哈）,1575441,35,62,337,11683,151,1567,223087,387011054,甘蔗是只喵
Auto-tune Remix-themed Content,鬼畜,鬼畜调教,BV1Di4y1S7C9,诈 骗 未 遂,1120344,66,842,946,15666,10291,6456,75134,7518140,暂离二度
Auto-tune Remix-themed Content,鬼畜,鬼畜调教,BV11Y411J7XQ,好 兄 弟 恰 恰 舞,1140077,68,1918,1851,39483,13515,18397,124862,52066082,北小飘
Auto-tune Remix-themed Content,鬼畜,人力VOCALOID,BV1xu411i7iV,许嵩，你根本没在唱《素颜》，你躲哪去了？,634438,132,861,1419,17172,30518,7592,51429,411699052,奶油鸽子精
Auto-tune Remix-themed Content,鬼畜,鬼畜剧场,BV1Wa41147iF,奥 斯 卡 群 殴 事 件,2829708,70,1406,2222,30436,24058,17833,157821,21979556,你的硬币是我dio哒
Auto-tune Remix-themed Content,鬼畜,鬼畜剧场,BV1tS4y1K7tF,发 生 异 形 了,912616,60,511,480,7477,3918,3256,43194,57676402,超音速君
Auto-tune Remix-themed Content,鬼畜,鬼畜剧场,BV1kS4y1m7KP,《原神》角色演示-「神 李 云 龙」,501020,162,846,951,13557,16159,18371,44674,32618090,托比昂的护甲包
Auto-tune Remix-themed Content,鬼畜,人力VOCALOID,BV1xT4y1e73P,“龙叔，别骂了别骂了！！”,2714202,204,6569,7629,128931,204370,33601,292247,159122,惜缘、过去
Auto-tune Remix-themed Content,鬼畜,鬼畜剧场,BV1kL4y1L7aw,郝 哥 穿 越 过 去 救 自 己,832868,104,1234,686,13576,6603,3205,69061,108092559,lilin韩
Auto-tune Remix-themed Content,鬼畜,鬼畜剧场,BV1x3411J7BP,牡 蛎 壳！,440903,101,461,838,8528,13613,8251,38543,12856442,晓月之痕
Auto-tune Remix-themed Content,鬼畜,鬼畜调教,BV16L4y177B9,【原神Rap】雷电将军vs钟离,1462261,86,1818,2039,85703,49843,13830,185233,8580108,圣剑少女の爱
Fashion,时尚,美妆护肤,BV1hu411i7X7,良田东东和张欣怡的缘分还是从宿舍楼下开始，原因只是想抓一个普通女生把她拍成校花,1124015,173,814,1045,5583,6482,1634,111267,480959917,良田田田
Fashion,时尚,美妆护肤,BV12r4y1p77w,我保证，这是你看过最硬核的底妆教程,317132,454,1098,637,32390,27895,1619,40481,35757240,爱吃榴莲的小吴同学
Fashion,时尚,穿搭,BV1N44y1P7C5,真是彻底翻che！ 盘点网上我和自己买的衣服差别,940122,370,6225,1416,5570,7471,2365,100929,431615976,聂小倩她老板
Fashion,时尚,美妆护肤,BV1rF41137SC,拯救b站up主形象系列---剪了头去说唱新世代,737816,415,2389,1176,2936,14748,928,58980,1869712375,山城小栗旬的理发日记
Fashion,时尚,穿搭,BV15r4y1s7zW,当148的小矮子穿上不适合自己个儿的衣服：,1339857,164,785,1765,12026,4464,3320,47197,27897180,小小的小兔团儿
Fashion,时尚,美妆护肤,BV1gY4y1W7Ho,十分钟搞定黑头!去黑头超全攻略,379559,129,221,3515,17022,739,413,19447,250473788,唐火锅
Fashion,时尚,美妆护肤,BV1e94y1o7vs,大方脸跟着俄模画厌世脸，真的有那种感觉了哈哈哈哈哈哈哈哈哈哈！！,329306,152,275,525,9856,745,691,30698,431869465,弄弄这个妆
Fashion,时尚,美妆护肤,BV1iu411i7Nr,【Kleiner Pixel】鬼灭之刃 雏鹤 Cosplay妆容教程,496025,399,559,1223,7642,10560,3052,51204,349888821,KleinerPixel
Fashion,时尚,时尚潮流,BV1SY4y1p7ww,被外国恶搞的“中国飞沙”。,1042462,31,101,518,2441,54,124,70538,23460974,一日三餐涨知识
Fashion,时尚,时尚潮流,BV1tq4y1e7W5,巴黎世家之胶带秀 原来奢侈品就在我们身边,1318468,63,494,536,2815,3883,903,93739,402978061,陆仙人哦
Entertainment,娱乐,综艺,BV1o5411S7rX,中文的一字之差有多致命,943645,58,58,154,4738,80,328,132838,2087853107,卿卿我的小猫
Entertainment,娱乐,综艺,BV1xr4y1s7rr,【天赐的声音】周深 GAI周延《玫瑰少年》,1457372,261,11926,21329,55359,70339,25703,99844,504672822,浙江卫视
Entertainment,娱乐,粉丝创作,BV1rY4y1v7GE,鹿晗：今天大家高低都得整两句！,557379,35,177,176,7770,162,749,109680,397314344,爱豆鸭
Entertainment,娱乐,娱乐杂谈,BV1Qu411i7ad,怨  种  实  习,630430,378,2475,1287,5163,22107,1682,70474,12857790,高碧吐了
Entertainment,娱乐,综艺,BV1d5411S7xq,救命！我也不想被骗啊，可是她真的太可爱了！！！,597257,28,35,145,6415,91,494,103459,1761205439,爱豆研究室
Entertainment,娱乐,明星综合,BV1XF411W7Yn,太豪横！知名主持人投诉楼上孩子太蹦跶，被砸3颗蔬菜后破防了,1966253,62,269,1119,7344,292,3685,183088,1685024055,star星视频
Entertainment,娱乐,明星综合,BV1g3411W7ye,我来B站“卖瓜”了！,12792971,91,27141,39974,246146,525781,102014,1497576,1528617278,演员李广奇
Entertainment,娱乐,粉丝创作,BV1X3411n7py,笑死，立学霸人设的来看看书卷气怎么演！,930052,90,312,1090,5331,403,351,51257,51196625,刘昔昔咯
Entertainment,娱乐,综艺,BV1k94y1o7uu,八卦张国荣已上线，王菲：质疑我什么都可以，就是不能质疑我的麻将技术OK？,629490,33,26,81,4910,113,168,86354,1439080023,剧综爆料酱
Entertainment,娱乐,综艺,BV1i3411H7BB,【TF家族】《练习生日常不过的日常》80. 随机任务挑战反弹篇,792713,2404,92662,12012,6006,7420,801,42956,3670216,TF家族
Movies,影视,影视剪辑,BV1y34y1s7x7,那些无法超越的台词与画面！,2494614,272,20510,2340,98614,73950,8562,144108,470629446,星火少年狼
Movies,影视,影视剪辑,BV1k94y1o7JD,这就是同一个公寓出来的演技，卧槽真绝！！！,3490516,218,12892,3829,15241,8947,1058,169689,1163567538,呆瓜混剪
Movies,影视,影视杂谈,BV1gL4y1j7Pk,她们有多爱扯头花，演技就退步得有多差。,1544883,926,16451,10967,13388,46356,7403,110624,22723665,暴躁老王不在家
Movies,影视,影视剪辑,BV1qY411J7Wb,笑死！因为他十分钟的戏份，观众都希望男主别上线！,1596589,147,2611,3771,24096,10918,19252,64932,2390163,蒙娜丽鲨鱼
Movies,影视,影视剪辑,BV1ES4y117zP,【冯巩×华妃】你试过从天黑想到天亮的滋味吗,890358,320,5132,2883,12114,37766,25289,79724,21778075,_青红造了个白_
Movies,影视,短片,BV1vY411J7aX,恋爱初期的尴尬,2542976,90,1665,2539,22331,9937,41724,166307,1614789471,派小轩
Movies,影视,影视杂谈,BV1PT4y1v72K,千古孽缘！潘金莲西门庆勾搭成奸！《水浒传》P15,1338895,3066,36852,4989,14850,77160,5105,122228,927587,木鱼水心
Movies,影视,影视杂谈,BV1HF411s7hK,爆肝3个月，一次看爽！详细解说经典美剧《越狱》1-4季,636078,34999,8645,978,21993,24823,1915,39536,21837784,阿斗归来了
Movies,影视,影视杂谈,BV1Ha411i7aF,天理昭昭报应不爽，凶手终落网！深度解说《12·1枪杀大案》（第三期）,661955,1749,6690,1739,5191,28005,1030,58423,79061224,刘老师说电影
Movies,影视,短片,BV1p94y1Z7wD,UP主自制国内首部，也可能是最后一部幽默类影视默剧长片《毁灭源》！,503119,3909,2112,1211,12194,31859,1197,38269,315131991,默剧小白
