bv_id,title,message,time,like,uid,name,sex,level,vip
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,"要是我来拍，我就这样
王炸回家在父母的安排下考公上岸成功。
猪晓明996奋斗猝死",2022-03-15 18:08:21,3855,44326883,超人肖-万,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,"⠀
⠀
⠀ 我希望正在读这句话的人永远幸福   ⠀
⠀
⠀",2022-03-15 20:02:45,1074,417370952,留不了娟,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,"总结：王炸不努力（×）
王炸只是大学生，而猪小明大概率研究生（不然部门主管哪有那么好升）。所以说开卷（√）",2022-03-15 18:12:07,619,485968100,度若飞z,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,王炸后面确实是你们表现出来的，但是他开头说的一句话确实是所有人的心声，现在3000块钱想招人？,2022-03-15 18:05:04,287,25966832,晓之神X,保密,6,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这王炸咋想的啊，一个蜘蛛纸牌有这么好玩？[doge],2022-03-15 18:19:20,206,243904113,新鲜动物園,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,没有绝对的左边，也没有绝对的右边，大部分人都只是努力活着,2022-03-15 18:55:09,119,2038780654,月影泛蓝,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这样的出租屋世上有千千万万，又有千千万万的人曾在里面辗转，有些风风光光离去，有些被赶走狼狈不堪。,2022-03-15 18:06:39,111,354039275,B战中奖就改名,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我就不一样了，我刚毕业打工挣得钱全都上交给老爸，因为我爸害怕我管理不好我的钱，我记得很清楚我想用前俩月挣得钱买个笔记本电脑，还是我各种软磨硬泡他才拿到的钱，平时他只给我个零花钱买点吃的啥的。这种情况一直持续到我结婚，然后现在我挣得钱全都上交给老婆[笑哭][笑哭],2022-03-15 18:36:43,66,6971193,烈车诡道丶老司机,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,现实并不是这样，中国大多数人都是每天工作十二个小时，甚至还没有双休，是他们不努力吗？但他们的工资只是够温饱，给父母打了点钱后基本没有多少剩余，更不要说买房什么，仅仅是结婚，十万块钱里面包括酒席和彩礼，都要你奋斗三年，这还是不给钱父母的情况下，视频里的故事就是一个小说版的斗破苍穹，给人灌鸡汤罢了！五年你们有多少人做到了主管！,2022-03-15 19:59:31,112,435085156,你是我的小贝贝,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,听说六点半换运营了，来得早过来调戏一下[doge],2022-03-15 18:03:55,51,473780500,御坂美琴1126号,女,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,像我这种工资态度也好，有上进心，还是工资很低不见涨的，没有女朋友的咋办[笑哭],2022-03-15 18:10:52,62,388580242,盒子精是我,男,3,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,又重新看了几遍，仔细想想，仔细看看，《与其说是两段不同的人生，不如说是两个不同的时代。》,2022-03-16 17:07:11,44,46446650,王回归,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,资本家就喜欢左边的，给你画个饼，加油吧，年轻人，美好的只有童话和剧本。,2022-03-18 11:34:00,47,309675029,何必葬自由,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我的工作轨迹，毕业前半年1000一个月。以后一年2500，再后半年3000，半年4000，半年6000，再一年8000，后回老家，又一年6000，整整五年，如今已27岁矣，在老家找到了年薪13万的活儿。对于我这种极低物质需求的人来说已经很满意了。我不喜欢宣扬努力的人生，事实上我反而被这种论调害过，就那么一次，我想要试着努力一下，结果错失了很重要的，今生都无法找回的一些东西。人生，顺其自然就好，只是要求你走出的每一步，循规蹈矩也好，离经叛道也好，都一定要坚定！,2022-03-17 19:15:01,31,5509054,今天丽塔跟我结婚了吗,保密,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,两边都有点极端了 现在很多人真的是就是找了个工作攒了点小钱 态度不比左边但是也不至于右边 饿不死也不多富裕 有的换工作也不知道干什么或者干脆换了个厂继续差不多的生活 有的就一直干了 结果好几年也没个晋升空间 甚至觉得工资高些的你不如新来的便宜的大学生,2022-03-21 12:35:27,24,34849858,一羽渡凡尘,保密,6,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,如果我没看错的话，这个短片是鼓励人们努力的吧，不是分析两个人 有什么背景，是什么学历之类的吧！,2022-03-15 21:42:07,37,19964300,扯一抹坏笑,男,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,哦？没人去厂里拧螺丝了又开始推这种东西了？拧个螺丝难道还需要清北毕业不成？眼高手低的从来不是求职者，而是转型完全拉跨的某大国企业，一个个只有眼前的蝇头小利，整日干着低端的劳动密集产业，还嫌求职者好高骛远，可笑至极,2022-03-31 17:51:01,24,13707392,六币仙人,保密,6,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我来了,2022-03-15 18:03:11,24,912066,lyc9132,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我又想起了我老公四年的网吧生活，我照顾了他四年，还好后来他努力了，房子车子都买了，只要去肯回头，什么时候都不迟！老公你还是最棒的呀！,2022-03-15 18:12:00,20,478897641,马巧婷,女,4,大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,抖音五点59就刷到了，还特意来B站看一下，还真是今天的[笑哭],2022-03-15 18:04:45,20,165497782,勥烎-菿奣,男,6,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,刚出学校18岁那年，每月给家里打2000块钱，，19岁，半年给家里四千，给了两次，20到24岁，没给家里一分钱，每年像王炸一样，要了不少，24岁欠网贷信用卡4W.活倒退了,2022-03-15 18:13:07,25,32408408,打上花火呀,女,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,好好干，房东才能每天去喝下午茶，病了医保才有余额,2022-03-23 02:18:56,18,18946786,可乐只喝零度可乐,保密,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,可惜有更多的人像猪小明一样努力，结局却成了王炸。,2022-03-15 18:45:24,1275,306598098,梦雨凝溪,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,"我过着右边的日子，隔壁过着左边的日子，现在我走了，收入比他多了一倍，告别了租房子的日子，但他还在【奋斗】......我不相信努力，我只想自己开心，随心比什么都好[藏狐]
别信什么奋斗学，你和人家不在一个级别，信了也没用，有些人家里存款一个月的利息就是你一年的工资，他凭什么要早起贪黑给人打工？他凭什么不能在家里天天玩？他凭什么不能虚度光阴？你拼死拼活都干不来人躺在家里啥也不干收的利息多，就把别人挂上【不努力】的标签，未免太过分了，大家都是在做自己喜欢的事情，没必要贬低任何人",2022-04-02 15:02:55,20,4867023,暴走的罗罗,男,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,现实生活中很多王炸演的这种人物，没能力没本事不努力，还觉得自己很厉害，大钱挣不到，小钱看不上，导致越来越窘迫，还得感叹时运不济[doge],2022-03-16 12:25:08,20,92606789,雷迪森Lee,保密,3,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这个拍的不错，很有感触。跟我以前差不多，跟我现在差不多[doge][doge],2022-03-15 18:08:51,20,40219625,秋天树叶儿黄了,保密,4,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,今天是2022/03/17，我居然还能看到这样的鸡汤，一定是穿越了,2022-03-17 15:40:43,16,1110717,寒蝉鸣泣之森,女,6,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,高中毕业，当兵，5年后2016年退伍来到深圳。应聘的司机一个月4600。房租3500，困难的时候晚饭都吃不起在电梯里闻到别人提的外卖流口水，公司人不多。后来财务缺人手没事就去帮忙，自己考了会计证，初级，中级。业务上缺人跑去给业务帮忙现在公司业务一半在我手上负责。去年给提了财务总监。工资1.7万。17年自己买了车比亚迪唐，花了24万家里给的。结婚家里给了25万。结婚后每年给两边老人一家1万。现在存款35，去年给老婆买了车奥迪A3。我肯定算不上优秀，也不是为了给不如我的炫耀。就是看了视频告诉那些质疑别人努力的人，奋斗了或许没用，但是好过连奋斗的勇气都没有。,2022-03-17 15:39:47,16,273582808,樱花逝丶,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,自己喜欢的女孩成天和她男朋友一起打游戏，但是我不羡慕他们，甚至希望他们一直这样zby,2022-03-15 18:05:59,69,501818936,越吃越懒,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我觉得很真实，我刚毕业那会，一个月八千，住着800的城中村，同期进公司的同事，大部分一年工资翻了一倍，我却因为不认真，工作失误犯错，被降职降薪3000，女朋友也分手了。混不下去了，颓废了得过且过了，被爸妈骂着回了老家，疫情之下颓废了半年，之后抱着弄个铁饭碗饿不死的心态，考了公务员。我可能适合做这行，自觉水平不行，自发加班，只努力了一个月，领导看在眼里了，一个厅级领导让我做女婿，现在和女孩处着，怎么也算少努力十年了。我用半年的时间废了自己，又用一个月时间让自己重获新生。真实感来自于成长，真实不只是悲惨，还有希望，努力，真的有用。,2022-03-15 22:30:34,33,1285511123,嘿吼嘿吼黑,保密,2,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,之前每天睡5个小时，最终因为心脏出了问题，找了一份10小时的工作。现在每个月才4000快钱.房租2100。最终我们都成了王炸一样的人。医生告诉我不要过度劳累。现在永远是最魔幻的那个,2022-03-15 21:10:33,15,688065578,布丁大队长,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这样的出租屋世上有千千万万，又有千千万万的人曾在里面辗转，有些风风光光离去，有些被赶走狼狈不堪。,2022-03-15 18:04:14,16,36642113,無限大なな夢,保密,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,以前我是王炸，现在我是朱小明，唯一不一样的就是都没女朋友，而且你一旦努力，就要多防备职场小人真的没有人会帮你，你的努力会闪到他们，做好背黑锅，被扣帽子，大部分同事都掩盖你的功绩，放大你的错误，不要相信上司他就是你最大的敌人，如果你努力去做事，一是期待你有个心胸开阔眼界高的老板，二是多读点阴谋论，不去害人也要会保护自己，唉，有时候朋友真的会捅你一刀，反而一些职场的旁观者才更加可爱。,2022-03-15 22:42:31,15,253657863,教练我想做个杠精,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,说句实话啊，如果没有什么大的本事就不要往大城市跑了，小县城也挺好的，生活节奏慢，压力比较小，娶个温柔体贴的好媳妇平平安安，健健康康的过一辈子也是很幸福的，人最大的不幸福不在于不够努力，而是没有给自己最好的定位,2022-03-15 19:28:10,15,95519609,银为有你,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,毛台催王炸交房租的镜头很细节。王炸穷到连网费都交不起（也有可能是毛台把网断了），只能在出租屋玩不用网络的蜘蛛纸牌,2022-03-15 18:06:59,10,18685073,我水妖精丶,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,躺平的内核我觉得应该是正视平凡，好好生活。,2022-03-19 18:21:01,8,2098928,不要太暴躁噢,男,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,都怪蘑菇头和猪小明这两个丸八蛋[doge],2022-03-15 18:13:01,8,28534576,熟睡的螃蟹,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,猪小明真的演啥像啥，演“屌丝”最绝[doge],2022-03-15 18:10:39,8,284027808,堕天使哀殿,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,是我敏感吗？感觉像是提醒考研考公高考生们：适应环境加油，而不是抱怨环境。[doge][doge],2022-03-15 18:08:04,8,526067840,绝笔丹青,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,六点半豆奶是你家开的吗[热词系列_知识增加],2022-03-15 18:04:09,8,477437451,寒风木落落,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,最开始跟猪小明一样，慢慢的就活成了王炸[喜极而泣],2022-03-15 19:36:51,10,639769251,骨局出发呀,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,为生活努力的人和眼高手低的对比，不过应该在加一种，明明已经努力了却没有丝毫回报，一定是我不够努力[大哭][大哭],2022-03-15 18:12:01,10,77202725,旧萧旅人,男,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,所以，这就是，都怪你不努力[星星眼][星星眼][星星眼],2022-03-31 01:35:51,7,1613018,地上的派洛特,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,真羡慕你们努力有回报的，我早七晚十冲压工，回报我的是胸膜炎肺结核，还把攒的钱送进了医院。,2022-03-21 14:41:29,7,22498728,大螂爱吃药,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,说一下个人感受，本人00年的，算是00后第一批走入职场的，21年6月毕业，但是在20年12月17就已经在外实习，是个专科，然后主要做精装监理，21年10月第一次带浙江的一个精装房项目（名字就不说了）一开始管理啥都不懂，压力很大，但是到现在为止抗下来了，自己觉得很开心，今年薪资还提升到主管上浮20%，然后再3月14日突然就顿悟了，对自己的人生不迷茫了，刚做了十年规划，为自己规划第二副职业并确立四个努力目标，大家加油，未来一定精彩[虎年],2022-03-18 17:59:26,7,28079118,铖霄,保密,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,猪小明第一个月转了2000回家，房租500，工资怎么着也得3000吧；合着5年后王炸找工作工资还是3000？经济发展的成果哪去了？王炸还是大学生呢，房租都涨了300呢好吧。这一点还真是现实,2022-03-16 19:20:02,7,37839077,丶绯暗,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,别整这些励志鸡汤PUA了，中国人已经够老实了，我希望老老实实接受PUA的人少点，这环境是给老实人生存的吗？,2022-03-20 17:19:23,13,12719401,谷之雨,男,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,猪小明就是我的经历，总算熬过来了，但努力的同时。选择可能更重要,2022-03-15 23:09:50,9,259462700,吕相见,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,资本狂喜[脱单doge],2022-03-15 21:50:48,9,42791082,麻烦提醒我写小说,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,两边的内容都太极端，很多人明明就是左边的态度，右边的结果……说实话，这条视频看得真的很让人不舒服,2022-03-16 09:03:14,18,2201619,区区夕月而已,男,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,都说右边是现实，但真正努力的就是能过左边的人生，我想说的是，先想想自己再去抱怨这个社会,2022-03-20 23:58:25,10,159140146,膨胀的海豹,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这样的出租屋世上有千千万万，又有千千万万的人曾在里面辗转，有些风风光光离去，有些被赶走狼狈不堪。,2022-03-15 18:04:16,10,418210904,乄无法选中-,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,感觉你们看不明白，小明是背了30年贷款，没有后路了一旦失业就得死，反而那个王炸，后期没有任何包裹，有着所有可能,2022-03-23 20:39:59,6,322610535,狙击一瞬间,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,猪小明本人真实案例。环艺刚毕业16届18年实习（大专）那会儿带着大学自己存下的1500，跟同学合租了一个顶楼的一房一厅550，楼下是烧烤的，又热，广州的夏天空调不敢开为了省电费。虽然1800的月薪，有自己的目标，每个公司都是学完就跳槽（19年公司从1800一个月到12万年薪留下我的，挺诱人但是坚持了自己的想法，因为每天都在加班，回去太热了，公司有空调，一大早过来，到了十一二点已经不热了才回到小窝）。选择性真的很重要，四次果断的跳槽如今有了新的起点（22万的年薪）。感谢自己每次的选择，定最高的目标一步步踏实的往上走，回头看，你就会发现那些都是成就了如今现在的你。勿忘初心[爱心],2022-03-20 10:10:23,6,430008530,辜咕咕咕辜,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,看一乐就得了，右边肯定不能学，左边是幻想。,2022-03-19 16:38:59,6,2130265108,木之本櫻櫻櫻櫻,保密,3,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,其实作为打工者之一 我说下我的例子吧 我是大学生没错 来了消费高的城市 工资前期少的 我就是左边那个人一直节流 没管家里要钱 都是我给家里买电视充网费给家里人钱的那个 后面工资高点了 也没说乱花 因为房价高在努力攒钱呢 女生现在有能力最好婚前买自己的房子 而且可能是同类相吸？我身边的同事朋友都是我这种模式，都在攒钱呢[doge][doge][doge],2022-03-18 01:31:50,6,24566757,小林爱美人,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我的评价是，忽略了很多客观因素，过于理想化，没有啥营养，不要太当真，显示往往是两个画面的结合[OK][OK],2022-03-15 21:55:42,8,267261545,逆X行X者,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,其实大家都忽略了，茅台最后的人生赢家。[doge][doge][doge],2022-03-15 21:38:50,8,455888763,KlmenT,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,都2022年了，还有人相信努力就会成功这种童话故事吗,2022-03-15 18:44:43,15,935006,修仙黄大师,保密,6,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,全部是王炸这种才好，才不会这么残酷工作环境，王炸才是正常人样子,2022-03-16 17:35:00,9,1750231311,gfbjzyr,保密,3,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,好像我以前，高不成低不就。哎，浪费了几年时间。现在想想，都是懒惹的祸。,2022-03-16 19:27:55,5,474709058,跑遍中国,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,真怕最后王炸打开那辆跑车的车门，坐进去说：老子再也不体验生活了，老实回家继承家业吧……还好不是这结局[妙啊],2022-03-16 17:51:31,5,487721808,百年太久只争朝夕,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这集是真的拉，凭什么嫌弃3000月薪的人就有错？一个问题，3000月薪能在昆明好好的活下去吗？不是每个人都和你们当年在编制。市区800房租(最低)，算水电100，其它费用需要300左右，伙食费自己做饭两顿10块，中午在外面吃15块，一个月750块，通勤150，这就是基本的生活费2100(最基本)，其它突然费用怎么办？别在这个时候还用第一份工作是来学东西的，你们自己相信吗？这个社会都在告诉年轻男人要有钱，凭什么你们觉得嫌弃3000月薪是错误的。,2022-03-15 21:25:14,17,30967689,风往南我往北,男,3,大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,世人慌慌张张 不过图碎银几两,2022-03-15 18:11:46,5,444204617,一位-初学者,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这样的出租屋世上有千千万万，又有千千万万的人曾在里面辗转，有些风风光光离去，有些被赶走狼狈不堪。,2022-03-15 18:10:58,5,305226212,棺下七武海,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,为什么努力和摆烂的都有女朋友，帅的丑的都有女朋友，而我没有[大哭],2022-03-15 18:08:08,5,216007845,丶安然丶6,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,为什么过了五年别人还是房东说明什么[吃瓜],2022-03-15 18:08:04,5,480771410,晚上可劲儿,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,"左边的最终成为了资产阶级的附庸
右边的终将成为燎原之火[doge]",2022-03-18 01:38:44,10,1896148388,是大名鼎鼎的V呀,男,2,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,王炸的生活就是我现在生活的写照，泪目了[大哭][大哭],2022-03-15 21:48:09,6,153670361,芯恋永恒,男,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,哈哈哈，鸡汤来咯,2022-03-15 18:34:35,6,686545328,青木榛子,保密,4,
